CPU 0 is empty
CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 5 is empty
CPU 7 is empty
CPU 8 is empty
CPU 9 is empty
CPU 10 is empty
CPU 11 is empty
cpus=12
   hello-21407   4dN.. 12086.029169: funcgraph_entry:                   |              rcu_note_context_switch() {
   hello-21407   4dN.. 12086.029169: funcgraph_entry:        0.354 us   |                rcu_qs();
   hello-21407   4dN.. 12086.029170: funcgraph_exit:         1.011 us   |              }
   hello-21407   4dN.. 12086.029170: funcgraph_entry:        0.331 us   |              _raw_spin_lock();
   hello-21407   4dN.. 12086.029171: funcgraph_entry:        0.371 us   |              update_rq_clock();
   hello-21407   4dN.. 12086.029172: funcgraph_entry:        0.376 us   |              balance_fair();
   hello-21407   4dN.. 12086.029173: funcgraph_entry:                   |              put_prev_task_fair() {
   hello-21407   4dN.. 12086.029173: funcgraph_entry:                   |                put_prev_entity() {
   hello-21407   4dN.. 12086.029174: funcgraph_entry:                   |                  update_curr() {
   hello-21407   4dN.. 12086.029174: funcgraph_entry:        0.331 us   |                    update_min_vruntime();
   hello-21407   4dN.. 12086.029175: funcgraph_entry:        0.522 us   |                    cpuacct_charge();
   hello-21407   4dN.. 12086.029176: funcgraph_entry:                   |                    __cgroup_account_cputime() {
   hello-21407   4dN.. 12086.029176: funcgraph_entry:        0.597 us   |                      cgroup_rstat_updated();
   hello-21407   4dN.. 12086.029177: funcgraph_exit:         1.275 us   |                    }
   hello-21407   4dN.. 12086.029177: funcgraph_exit:         3.703 us   |                  }
   hello-21407   4dN.. 12086.029178: funcgraph_entry:        0.333 us   |                  check_cfs_rq_runtime();
   hello-21407   4dN.. 12086.029179: funcgraph_entry:        0.386 us   |                  __enqueue_entity();
   hello-21407   4dN.. 12086.029180: funcgraph_entry:                   |                  __update_load_avg_se() {
   hello-21407   4dN.. 12086.029180: funcgraph_entry:        0.516 us   |                    __accumulate_pelt_segments();
   hello-21407   4dN.. 12086.029182: funcgraph_exit:         1.917 us   |                  }
   hello-21407   4dN.. 12086.029182: funcgraph_entry:        0.593 us   |                  _raw_spin_lock();
   hello-21407   4dN.. 12086.029183: funcgraph_entry:                   |                  __update_load_avg_cfs_rq() {
   hello-21407   4dN.. 12086.029184: funcgraph_entry:        0.593 us   |                    __accumulate_pelt_segments();
   hello-21407   4dN.. 12086.029185: funcgraph_exit:         1.960 us   |                  }
   hello-21407   4dN.. 12086.029186: funcgraph_exit:       + 12.606 us  |                }
   hello-21407   4dN.. 12086.029186: funcgraph_entry:                   |                put_prev_entity() {
   hello-21407   4dN.. 12086.029187: funcgraph_entry:                   |                  update_curr() {
   hello-21407   4dN.. 12086.029188: funcgraph_entry:        0.727 us   |                    __calc_delta();
   hello-21407   4dN.. 12086.029189: funcgraph_entry:        0.621 us   |                    update_min_vruntime();
   hello-21407   4dN.. 12086.029190: funcgraph_exit:         3.076 us   |                  }
   hello-21407   4dN.. 12086.029191: funcgraph_entry:        0.603 us   |                  check_cfs_rq_runtime();
   hello-21407   4dN.. 12086.029192: funcgraph_entry:        0.601 us   |                  __enqueue_entity();
   hello-21407   4dN.. 12086.029193: funcgraph_entry:                   |                  __update_load_avg_se() {
   hello-21407   4dN.. 12086.029194: funcgraph_entry:        0.516 us   |                    __accumulate_pelt_segments();
   hello-21407   4dN.. 12086.029195: funcgraph_exit:         1.735 us   |                  }
   hello-21407   4dN.. 12086.029196: funcgraph_entry:                   |                  __update_load_avg_cfs_rq() {
   hello-21407   4dN.. 12086.029196: funcgraph_entry:        0.555 us   |                    __accumulate_pelt_segments();
   hello-21407   4dN.. 12086.029197: funcgraph_exit:         1.935 us   |                  }
   hello-21407   4dN.. 12086.029198: funcgraph_exit:       + 11.918 us  |                }
   hello-21407   4dN.. 12086.029199: funcgraph_exit:       + 25.981 us  |              }
